MOSFET Id / Vgs							
Type:	MOSFET Id / Vgs						
Trace:	ALD1103NVds=0.2V						
Tag:	ALD1103NVds=0.2V						
Colour:	Red						
Point	Vgs (V)	Id - Curve Tracer (mA)	Id - Hand Collected (mA)			Vgs - Hand  Collected Data (V)	Id - Hand Collected (mA)
0	0.001109183	0				3	2.38
1	0.062666953	0				3.5	2.79
2	0.12367022	0				4	3.165
3	0.18615222	0				4.5	3.51
4	0.244474947	0				5	3.84
5	0.301781178	0				5.5	4.14
6	0.365649641	0				6	4.428
7	0.424249709	0					
8	0.48608464	0					
9	0.547457576	0					
10	0.605041087	0.00214962					
11	0.668539882	0.006614577					
12	0.730005085	0.020505318					
13	0.793411791	0.041506615					
14	0.849423468	0.074413896					
15	0.909779906	0.122535512					
16	0.97032094	0.185704365					
17	1.033634841	0.259622395					
18	1.09463799	0.337675005					
19	1.153330326	0.411923707					
20	1.214703381	0.483361006					
21	1.2729339	0.557279229					
22	1.333659708	0.631528556					
23	1.397343278	0.701808393					
24	1.457976937	0.771592498					
25	1.51676178	0.845510185					
26	1.57887429	0.910167634					
27	1.638583422	0.974164426					
28	1.698662221	1.044775009					
29	1.760774493	1.106455803					
30	1.817803741	1.170451999					
31	1.880008042	1.233290195					
32	1.941381276	1.295137048					
33	1.998225033	1.357645392					
34	2.061908662	1.420979857					
35	2.123004317	1.478361368					
36	2.188351929	1.536900282					
37	2.245010555	1.599573374					
38	2.302593827	1.661089301					
39	2.364984035	1.719297886					
40	2.427373588	1.773537397					
41	2.488746285	1.832241893					
42	2.54891789	1.88201654					
43	2.609273851	1.934271455					
44	2.668428659	1.990826964					
45	2.72970891	2.050192356					
46	2.790435135	2.100959778					
47	2.85097599	2.151396275					
48	2.910315812	2.202328444					
49	2.971134305	2.261363268					
50	3.031582415	2.307500601	2.38				
51	3.097484529	2.358101606					
52	3.150908411	2.408042192					
53	3.215886414	2.45798254					
54	3.276057601	2.503953695					
55	3.333086193	2.552901745					
56	3.397693992	2.596888542					
57	3.454168618	2.640875578					
58	3.516373754	2.685523748	2.79				
59	3.578116238	2.737779856					
60	3.638287246	2.779947281					
61	3.696518004	2.836336851					
62	3.758814752	2.873212814					
63	3.819910228	2.92563343					
64	3.88072902	2.968793869					
65	3.941269994	3.014269352					
66	4.003012657	3.056603193	3.165				
67	4.062259853	3.100920916					
68	4.123169959	3.146892071					
69	4.183249533	3.188728809					
70	4.243975103	3.236354828					
71	4.303777218	3.279680014					
72	4.366721213	3.317878723					
73	4.427816689	3.363023996					
74	4.484752476	3.397750616	3.51				
75	4.54714334	3.442233324					
76	4.607591033	3.486219883					
77	4.667762399	3.526900768					
78	4.729135633	3.564438105					
79	4.788844764	3.604621887					
80	4.850125313	3.648609161					
81	4.911220551	3.689454317					
82	4.974073172	3.729637861					
83	5.034244001	3.767174482	3.84				
84	5.095525384	3.802893877					
85	5.149965763	3.841424227					
86	5.213926136	3.87515831					
87	5.274190128	3.911373615					
88	5.33657968	3.954699278					
89	5.397305548	3.992071152					
90	5.455628276	4.026136398					
91	5.51589185	4.056729317	4.14				
92	5.579206049	4.091621399					
93	5.641318381	4.123536587					
94	5.698717594	4.16140461					
95	5.760552585	4.198942661					
96	5.822018027	4.236646175					
97	5.880525589	4.270545483					
98	5.939772904	4.305106163					
99	6.003271282	4.340329647	4.428				
