Vg	Is(M1)	Rds (Ohm)
0.00E+00	2.53E-03	0.00E+00
1.00E-01	2.50E-03	4.00E+01
2.00E-01	2.48E-03	8.07E+01
3.00E-01	2.46E-03	1.22E+02
4.00E-01	2.43E-03	1.65E+02
5.00E-01	2.41E-03	2.08E+02
6.00E-01	2.38E-03	2.52E+02
7.00E-01	2.36E-03	2.97E+02
8.00E-01	2.33E-03	3.44E+02
9.00E-01	2.30E-03	3.91E+02
1.00E+00	2.27E-03	4.40E+02
1.10E+00	2.24E-03	4.90E+02
1.20E+00	2.22E-03	5.42E+02
1.30E+00	2.19E-03	5.95E+02
1.40E+00	2.16E-03	6.50E+02
1.50E+00	2.12E-03	7.06E+02
1.60E+00	2.09E-03	7.65E+02
1.70E+00	2.06E-03	8.26E+02
1.80E+00	2.03E-03	8.89E+02
1.90E+00	1.99E-03	9.54E+02
2.00E+00	1.96E-03	1.02E+03
2.10E+00	1.92E-03	1.09E+03
2.20E+00	1.88E-03	1.17E+03
2.30E+00	1.84E-03	1.25E+03
2.40E+00	1.80E-03	1.33E+03
2.50E+00	1.76E-03	1.42E+03
2.60E+00	1.72E-03	1.51E+03
2.70E+00	1.68E-03	1.61E+03
2.80E+00	1.63E-03	1.71E+03
2.90E+00	1.59E-03	1.83E+03
3.00E+00	1.54E-03	1.95E+03
3.10E+00	1.49E-03	2.08E+03
3.20E+00	1.44E-03	2.22E+03
3.30E+00	1.39E-03	2.37E+03
3.40E+00	1.34E-03	2.54E+03
3.50E+00	1.28E-03	2.72E+03
3.60E+00	1.23E-03	2.93E+03
3.70E+00	1.17E-03	3.16E+03
3.80E+00	1.11E-03	3.43E+03
3.90E+00	1.05E-03	3.73E+03
4.00E+00	9.82E-04	4.07E+03
